Номер	Слово	Номер урока	Перевод 1	Перевод 2	Перевод 3
480	방송		Трансляция		
482	나무		Дерево		
484	연극		Драма, постановка		
485	마찬가지		Похожий, такой же		
487	노동		Труд	Работа	
488	이때		В это время	В этот момент	
489	과거		Прошлое		
490	가치		Цена		
491	시간		Длительность времени (한시간 동안)		
492	집단		Группа		
493	현대		Текущая эпоха	Текущие времена	
495	장관		Министр		
496	차이		Разница, неравенство		
498	시절		Сезон, время года		
499	물건		Вещь		
500	직접		Прямо		
501	개인		Частный, личный		
502	근데		Однако, но		
503	발		Нога		
504	작가		Писатель, автор		
505	효과		Эффект	Эффективность	
506	불교		Буддизм		
508	대로		Похожий, такой же	Следуя за	
513	우주		Вселенная		
514	시기		Возможность, шанс		
515	마치		Как будто		
516	살		Годов, лет (о возрасте)		
517	생산		Производство	Рождение	
520	경험		Опыт, мучение		
521	음악		Музыка		
522	최고		Лучший		
526	비		Дождь		
527	고향		Родной город		
531	농민		Фермер		
532	은행		Банк		
534	결혼		Свадьба		
535	법		Закон		
536	소설		Новелла	Фантастический роман	
538	오후		После полудня		
539	질서		Порядок	Система	
542	시민		Жители города		
543	회장		Председатель	Президент	
545	스스로		Сам по себе	По своей собственной воле	
546	아기		Ребенок, дитя		
547	아저씨		Сэр (обращение к незнакомым мужчинам)		
548	옛날		Древность, древние времена	antiquity	
549	이날		Сегодня	На сегодняшний день	
551	달		Луна		
553	참		Реально, на самом деле		
554	공간		Комната, пространство		
556	마지막		Последний	Финальный	
558	병원		Больница		
559	자세		Позиция	Поза	
561	경찰		Полиция		
563	저녁		Вечер		
564	한편		Одна сторона	Один путь	
565	그러면		В таком случае, если так, то		
566	기자		Журналист		
568	시험		Тест		
569	잠		Сон		
570	주로		В-основном		
571	훨씬		Намного	Очень даже	
572	면		Сторона		
573	통일		Унификация		
574	건강		Здоровье		
576	건물		Здание		
577	시설		Основание, институт		
578	외국		Зарубеж, другая страна		
579	밑		Дно, нижняя часть		
580	어른		Мужчина	Взрослый человек	
581	주변		Окружность		
582	대신		Вместо этого		
583	원인		Причина	Фактор	
585	차례		Порядок, очередность	Один раз	
586	군		Армия		
589	재산		Собственность	Судьба, фортуна	Возможности
590	팀		Команда		
591	부모		Родители		
592	약간		Несколько		
593	언어		Язык, говор		
596	첫		Первый		
597	감독		Директор, управляющий		
598	그날		Тот же день		
599	사실		На самом деле	Реально	
600	자주		Всегда	Постоянно	
603	약		Около, примерно		
604	기간		Период, время		
605	담배		Табак		
607	일단		Временно		
608	할아버지		Дедушка		
609	조직		Организация, композиция, структура		
611	공장		Строительная площадка		
612	벌써		Уже		
614	지		С тех пор, с этого		
615	환자		Пациент		
617	사고		Авария		
619	아무리		Однако, гораздо, даже		
621	쌀		Сырой рис		
622	일반		Универсально, обычно, привычно		
625	대화		Разговор, обсуждение		
627	올해		Этот год		
628	형		Старший брат		
632	인물		Мужчина	Человек	
633	늘		Всегда		
634	모두		Все		
635	전국		Вся страна		
637	전		Все, каждый		
638	다만		Только	Просто	
639	도움		Помощь		
640	가정		Семья		
644	버스		Автобус		
645	오늘날		В эти дни	На сегодняшний день	
646	잠시		На некоторое время		
647	농업		Сельское хозяйство		
649	식		Форма, стиль		
650	의견		Мнение, предложение		
651	무대		Сцена		
652	사진		Картинка		
653	주장		Утверждение, настояние		
657	제일		Первый		
659	아마		Возможно, вероятно		
663	경기		Гонка, матч, состязание		
664	목적		Цель		
665	태도		Отношение, поведение		
666	남성		Мужской		
667	주위		Окружение, обхват		
668	대책		Контрмера		
669	그만		Только это		
671	다리		Нога		
672	아무		Все, каждый		
674	재료		Материал		
675	각각		Каждый		
676	결코		Никогда, ни в коем случае		
678	항상		Всегда		
679	해		Годов		
681	자유		Свобода		
682	책임		Ответственность		
686	경쟁		Конкуренция, соперничество		
689	여름		Лето, летнее время		
691	회		Момент времени	Раунд в игре	
692	구체적		Конкретно		
693	기회		Возможность		
695	지구		Земля		
697	소비자		Потребитель		
699	규모		Масштаб, объем, структура		
700	기준		Стандарт, базис		
701	말		Конец		
702	반드시		Несомненно		
703	셈		Намерение, назначение, цель		
707	값		Цена		
708	현장		На месте		
709	건설		Строительство		
711	노동자		Работник, рабочий		
712	언제나		Всегда		
714	자동차		Машина		
717	개월		Каждый месяц		
719	별로		Особенно	В частности	
720	어린이		Подросток		
722	한마디		Одно слово		
724	이데올로기		Идеология		
726	대중		Массы		
729	만		Столько, сколько и	Полностью	Целиком
730	말씀		Речь		
732	눈물		Слеза		
733	각종		Все виды, разных видов		
734	빛		Свет		
735	아니		Нет		
740	지식		Знание, информация		
742	주인		Глава семьи, владелец		
744	선		Линия	Маршрут	
745	인류		Человечество		
746	특징		Особенность	Отличительная особенность	
747	선수		Атлет		
748	형식		Форма	Формальность	
750	반		Половина		
752	주제		Субъект, тема		
755	관점		Точка зрения		
756	귀		Ухо		
757	기본		Основание		
758	미터		Метр		
761	감정		Чувства		
762	기억		Память		
763	놈		Сотрудник		
764	인기		Население		
765	배		Живот		
766	아파트		Квартира		
768	구성		Организация или устройство	Рамки чего-то	
769	술		Ложка		
773	관리		Управление, администрация		
777	과연		Как и предполагалось		
780	이전		Предыдущие дни, предыдущие разы		
782	자		Персона		
783	중앙		Середина, сердце		
787	게임		Игра		
788	국제		Международно		
789	그룹		Группа		
790	인생		Жизнь		
791	전통		Традиция, соглашение		
793	잔		Чашка	Бокал для вина	
797	시인		Поэт		
798	언제		Когда		
799	외		За исключением		
800	평가		Оценка		
802	위치		Расположение		
804	가격		Цена		
807	삼국		Три страны		
808	손님		Клиент, покупатель		
810	통신		Связи, соответствие		
812	모임		Группа	Партия	
813	수		Число чего-то		
814	웃음		Смех	Улыбка	
815	기계		Инструмент, машина		
816	모양		Знак, индикатор		
817	물질		Материал		
818	아나운서		Диктор		
819	뉴스		Новости		
823	수업		Школа, обучение		
824	겨울		Зима		
825	종교		Религия, вера		
826	층		Этаж	Степень, класс	
829	식사		Обед, трапеза		
831	이해		Понимание		
834	반		Группа	Компания	Партия
836	혹은		Если это не так		
838	편		Направление		
839	텔레비전		Телевидение		
841	편		Сборка	Редактирование	
842	실천		Практика		
844	보호		Защита		
847	이웃		Окрестности		
848	편지		Письмо		
849	공동		Ассоциация, объединение		
850	까닭		Причина		
851	방안		План	Схема	
852	센티미터		Сантиметр		
853	팔		Рука		
855	분석		Анализ		
856	소녀		Молодая девушка		
858	차		Порядок, последовательность, степень		
859	상품		Изделие		
860	설명		Объяснение		
862	관계자		Заинтересованные или задетые стороны		
863	새로		Ново		
864	세		Эпоха в годах		
866	티브이		Телевизор		
867	봄		Весна		
868	종류		Вид, сорт		
870	어깨		Плечо		
871	부부		Пара (парень и девушка)		
872	오래		Долго		
873	요구		Потребность, запрос		
877	여행		Путешествие		
878	죽음		Смерть		
879	고통		Страдание, агония		
880	공		Мяч		
882	오월		Май		
886	과		Урок, секция, факультет, департмент		
887	멀리		Далеко		
889	예정		Программа, расписание		
890	오빠		Старший брат		
892	한계		Граница, предел		
894	바탕		Фон		
895	사월		Апрель		
898	갈등		Конфликт, проблемы		
900	의지		Воля		
901	전문		Специальность, особенность		
903	초기		В первые дни	В первое время	
904	나중		Последний, крайний		
906	며칠		Сколько дней		
907	쓴맛		Горько		
909	미		Красота, грация		
910	사용		Использование		
911	시선		Чей-то взгляд		
912	아무런		Не вид чего-то		
913	언론		Речь	Дискуссия	
914	투자		Инвестиция		
915	지원		Помощь, поддержка		
917	경영		Управление, администрация		
918	목표		Цель, объект		
919	성장		Рост		
920	숲		Лес		
922	작년		Прошлый год		
925	새벽		Восход		
926	쓰레기		Мусор		
927	얼른		Быстро		
928	임금		Ставка	Платеж	
929	피해		Ущерб, повреждение		
930	한		Предел, лимит		
932	직장		Рабочее место		
934	크기		Размер		
935	고기		Мясо		
937	서양		Западные страны		
938	주요		Основное, главное		
940	냄새		Запах		
944	공연		Публичное исполнение		
945	남녀		Мужчина и женщина		
948	속도		Скорость		
950	준비		Подготовка		
952	구월		Сентябрь		
954	소년		Парень		
955	소식		Новости, информация		
956	유월		Июнь		
957	작용		Приложение		
958	허리		Талия		
959	골		Цель		
960	공업		Промышленность, производство		
961	그중		Среди остальных		
962	노인		Старик		
965	새		Птица		
966	영어		Английский язык		
967	출신		Родной	Родное место	
968	결정		Выбор, определение		
969	경향		Тренд, тенденция		
970	기록		Запись	Документ	
971	나름		Зависимость		
973	반면		Одна сторона		
975	움직임		Движение, активность		
976	이미지		Изображение		
978	특성		Специфическая характеристика		
979	교장		Глава, начальник		
981	업무		Бизнес	Служба	
982	입시		Вступительный экзамен		
984	청소년		Молодые парни и девушки		
990	달		Луна		
991	사장		Босс, директор, глава компании		
992	삼월		Март		
994	선배		Сеньор (обращение к старшим)		
995	업체		Корпорация, производитель		
996	키		Величина		
998	국회		Национальное собрание		
5668	이것	lessons/korean006.html	Это		
5669	이거	lessons/korean006.html	Это		
5670	저것	lessons/korean006.html	Вон то		
5671	저거	lessons/korean006.html	Вон то		
5672	그것	lessons/korean006.html	То		
5673	그거	lessons/korean006.html	То		
5674	의사		Врач		
5675	사업가		Бизнесмен		
5676	화가		Художник		
5677	실업가		Бизнесмен		
5678	기사		Инженер		
5679	품		Продукт		
5680	가방		Сумка		
5681	사과		Яблоко		
5682	춤		Танец		
5683	춤추		Танец		
5684	오렌지		Апельсин		
5685	오렌지주스		Апельсиновый сок		
5686	날씨		Погода		
5687	우유		Молоко		
5688	남자친구		Бойфренд		
5689	여자친구		Герлфренд		
5690	재미		Удовольствие		
5691	커피		Кофе		
5692	아이스크림		Мороженное		
5693	햄버거		Гамбургер		
5694	김치		Кимчи		
5695	케익		Пирог		
5696	용		Дракон		
5697	청소		Уборка		
5698	저	lessons/korean008.html	Я (вежливая форма)		
5699	나	lessons/korean008.html	Я		
5700	너	lessons/korean008.html	Ты		
5701	그	lessons/korean008.html	Он		
5702	그녀	lessons/korean008.html	Она		
5703	우리	lessons/korean008.html	Мы		
1001	걱정		Беспокоиться		
1003	만약		Если		
1005	세월		Времена, вещи		
1006	숨		Дыхание		
1007	행사		Событие, функция		
1009	누나		Старшая сестра		
1010	신		Бог		
1011	왕		Король		
1012	점점		Все больше и больше		
1013	질문		Запрос		
1014	특별		Специальный		
1015	판단		Решение, суждение		
1017	거리		Расстояние, улица		
1020	근처		Окрестности, рядом		
1021	너무나		Слишком		
1023	부정		Неправильный, неправый		
1024	사정		Обстоятельства		
1025	도대체		На земле, в мире		
1026	막		Случайно, беззаботно		
1027	부모님		Родители		
1028	수출		Экспорт		
1030	그		Это		
1033	마리		Счетное слово для животных		
1034	무척		Слишком		
1035	비용		Расходы		
1036	비행기		Самолет		
1038	원래		Первоначально		
1039	처리		Лечение		
1040	최초		В начале		
1041	꼴		Форма, внешний вид		
1042	놀이		Играть		
1043	뿌리		Корень		
1044	수입		Доход		
1045	초		Первый, начальный		
1046	그리하여		Таким образом		
1047	낮		Дневное время		
1048	일찍		Рано		
1049	직원		Сотрудники		
1052	내부		Внутри		
1053	다소		Более-менее		
1054	상대		Противник, соперник		
1055	오전		Утро		
1056	피부		Кожа		
1057	가게		Магазин		
1058	가득		Заполненный		
1059	그저		Все время, легко и без усилий		
1060	도		Градусы (температура)		
1061	벽		Стена		
1062	장군		Шахматы		
1063	무역		Торговля		
1064	부담		Бремя, ответственность		
1065	약속		Обещание		
1066	인사		Приветствие		
1067	줄		Линия, строка		
1069	충분히		Достаточно		
1070	신체		Тело		
1071	에너지		Энергия		
1072	위원		Комиссар, член комитета		
1074	집안		Внутри дома		
1075	배경		Фон		
1078	반대		Оппозиция, противоположность		
1079	법칙		Правило		
1081	소금		Соль		
1082	오염		Загрязнение		
1083	자전거		Велосипед		
1085	탓		Вина		
1087	걔		Ребенок		
1088	그래		Да		
1089	목		Горло		
1090	발표		Объявление		
1091	범죄		Преступление		
1092	위		Топ, позиция в топе		
1094	기초		Фонд		
1095	논리		Логика		
1098	감각		Чувство		
1099	미리		Заранее		
1101	저희		Мы, наш		
1103	교통		Трафик		
1104	기구		Механизм		
1105	법		Закон		
1106	오랜		Длительное время		
1107	젊은이		Молодежь		
1108	후보		Кандидат		
1110	과제		Проблема		
1111	근거		Основание		
1115	시각		Точка зрения		
1117	종합		Синтез		
1118	한글		Хангыль		
1119	가을		Осень		
1121	내일		Завтра		
1122	매일		Ежедневно		
1123	손가락		Палец		
1124	수단		Способ		
1125	자		Хорошо		
1127	적극적		Позитивно		
1128	판매		Продажа		
1129	형성		Формирование		
1131	길이		Длина		
1132	장면		Сцена, ситуация		
1133	점차		Постепенно		
1134	톤		Тонна		
1136	급		Класс		
1137	나머지		Остаток		
1138	날씨		Погода		
1140	의사		Врач		
1141	개방		Открытие		
1143	미래		Будущее		
1144	앞서		Перед		
1145	여러분		Ваш		
1146	왜냐하면		Потому что		
1147	인구		Население		
1149	네		Твой, четыре		
1151	병		Болезнь		
1152	소프트웨어		Программное обеспечение		
1154	반응		Реакция		
1155	주인공		Герой		
1157	비판		Критика		
1159	세대		Поколение		
1160	축구		Футбол		
1161	형님		Старший брат (уважительно)		
1163	당장		Немедленно		
1164	무렵		В то же время		
1166	사물		Объекты		
1167	일반적		В целом		
1168	장소		Место		
1170	바닥		Пол, поверхность пола		
1171	새끼		Детёныш животного		
1173	서비스		Служба		
1177	코		Нос		
1179	고등학교		Старшая школа		
1180	공개		Релиз		
1181	교실		Класс		
1182	스스로		Само		
1184	기사		Статья		
1186	매체		Средства массовой информации		
1187	별		Звезда		
1190	영역		Домен, территория		
1191	체험		Опыт		
1192	구속		Выкуп		
1193	어쩌면		Возможно ли		
1195	불법		Незаконный		
1196	비밀		Секрет		
1197	색		Цвет		
1201	아까		Недавно		
1203	이념		Идея, доктрина, идеология		
1207	발달		Разработка, рост		
1210	평화		Мир		
1211	공사		Строительные работы		
1212	박사		Врач		
1213	성		пол (мужской или женский)		
1214	전문가		Специалист		
1215	단지		Простой		
1217	무용		танцы, танец		
1219	싸움		Драка		
1220	자꾸		Постоянно, многократно		
1222	해외		За рубежом, зарубежные страны		
1223	그리		Так или в той мере,		
1224	문화재		Культурные ценности		
1225	미소		Улыбка		
1226	보통		Нормальный		
1227	식당		Ресторан		
1229	이래		После того		
1230	체육		Физкультура		
1233	사례		благодарность		
1237	칠월		Месяц июль		
1238	틀		"Рама, основа; плесень"		
1239	평균		Средний		
1240	훈련		Обучение		
1241	흐름		Поток, ток		
1242	십이월		Декабрь		
1244	이익		Прибыль		
1246	컵		Чашка		
1247	게다가		В дополнение		
1249	논문		Диссертации, академическая бумага		
1252	오랫동안		Долгое время		
1253	위기		Кризис, чрезвычайная ситуация		
1254	정당		Политическая партия		
1255	종이		Бумага		
1257	폭력		Жестокость		
1258	혹시		Иногда		
1260	양		количество, объем		
1261	절차		Процесс, формальности		
1263	공기		Воздух		
1266	올림픽		Олимпийский		
1267	이외		Кроме этого, помимо		
1268	재미		развлечение, наслаждение		
1271	기대		Ожидания, предположения		
1272	식물		продукты питания, положения		
1273	옛		Старый, древний		
1275	적어도		По крайней мере		
1277	평		Квадрат площадью около 2 квадратных метров		
1278	권리		Правильно или претензии на		
1280	대답		Ответ		
1281	시작		Начало		
1282	어려움		Трудность, трудности		
1283	일주일		Целый день		
1284	자원		Ресурсы		
1285	춤		Танец		
1287	물체		Материал корпуса		
1288	분명히		Очевидно		
1289	시위		Демонстрация		
1290	아무것		Что-нибудь		
1291	온		Все, целый, полный		
1294	최대		Наибольшее, по величине		
1295	평소		Обычно		
1296	견해		Мнение или мнение		
1298	농사		Сельское хозяйство		
1299	안정		Стабильность		
1300	어둠		Тьма		
1302	어쨌든		В любом случае, так или иначе		
1303	주택		Дом		
1304	고장		Район или район производства		
1306	눈길		Линия зрения		
1310	스트레스		Стресс		
1311	음		Звук чтобы выразить сомнения и беспокойство		
1312	인사		Люди, члены общества		
1315	과일		Фрукт		
1316	널리		Широко		
1317	농촌		Фермерское село		
1323	소재		Материал, предмет		
1324	전망		Вид, перспектива		
1328	그림자		Тень или силуэт или изображение		
1329	눈		Снег		
1331	마침내		Наконец, в конце концов,		
1333	시월		Октябрь		
1335	한쪽		С одной стороны		
1336	검사		Исследование или осмотр или экспертиза или аудит		
1337	결론		Вывод		
1339	박물관		Музей		
1340	소문		Слух		
1343	어서		"Быстро; любезно"		
1344	자녀		свои дети		
1345	제목		Предмет, тема		
1346	짓		Что-то, что вы делаете		
1347	판결		Решение (от судьи)		
1348	팔월		Август		
1350	희망		Надежда, желание		
1351	가방		Мешок		
1352	군대		Войска, армия		
1353	그만큼		Так много, в той мере		
1354	무어		Что?		
1355	비로소		В первый раз		
1356	상대방		Разговорный партнер		
1357	서구		Западная Европа		
1358	소유		Владение		
1359	시골		Сельская местность		
1360	실수		Ошибка		
1362	치료		Медицина, медицинская помощь		
1363	폭		"Ширина; диапазон"		
1364	호		"Псевдоним, название; Количество, вопрос"		
1367	부문		Раздел, отдел		
1368	시리즈		Серия		
1369	임신		Беременная		
1371	규정		Предоставление или условие		
1372	그램		Грамм		
1373	밭		Поле, ферма		
1375	식구		Члены семьи, ваши ближайшие родственники (тех, кого вы жить с, предпочтительно)		
1376	아예		С самого первого, с самого начала		
1377	어찌		Как, каким образом, какими средствами		
1381	개선		Ремонт или улучшения улучшение		
1382	그릇		Судно или сосуд		
1383	글자		Буква или символ		
1387	개		Собака		
1388	부동산		Недвижимость		
1389	신화		Миф		
1390	양		Мисс ~		
1391	점		пятно, пятно		
1392	직업		Занятие, называя		
1394	방학		Каникулы		
1395	범위		Диапазон, площадь		
1396	조상		Предки		
1397	철학		Философия		
1399	곁		Район или окрестности		
1400	근본적		основополагающим, фундаментальным		
1401	너희		Вы		
1402	대형		Большой, полноразмерный		
1403	문제점		Речь		
1404	본격적		Примерный		
1406	충격		Влияние, шок		
1408	금방		Просто сейчас или минуту назад		
1409	남쪽		Южная сторона		
1411	미술		искусство, изобразительное искусство		
1412	백성		Простые люди		
1413	상당히		довольно, значительно		
1414	색깔		Цвет		
1415	요리		Готовка		
1417	자네		Вы		
1418	기13		"энергия; дыхание или ветер"		
1419	꽤		Довольно или значительно		
1420	외국인		Иностранец, иностранный гражданин		
1421	한참		В течение некоторого времени, какое-то время		
1422	군사		Военное дело		
1426	마당		Сад		
1427	부인		Женщина		
1429	지적		Указывая, индикация		
1430	짝		Одна пара, одна пара		
1431	참으로		действительно, действительно		
1434	숙제		Домашнее задание		
1436	예산		Оценка, бюджет		
1437	온갖		Все виды, все виды		
1438	우려		беспокойство, тревога, страх,		
1439	우산		Зонт		
1440	기쁨		Радость или восторг		
1441	깊이		Глубина		
1444	무릎		Колено		
1447	시스템		Система		
1448	이용		Использовать		
1449	지난달		Прошлый месяц		
1451	참여		Участие		
1452	걸음		Прогулка или шаг		
1453	겨우		Едва или узко		
1455	비교적		Сравнительно		
1458	책상		На столе		
1463	단위		Блок, юнит		
1465	바람		В результате, под влиянием		
1466	상상		Воображение		
1467	소득		Доход, прибыль		
1468	수도		Столица		
1469	역		Часть, роль		
1471	자		Китайский иероглиф		
1472	침대		Кровать		
1473	권		Том или книга		
1475	수요		спрос, требование		
1476	스타		Звезда		
1477	시계		часы, хронометр		
1478	입술		Губы		
1479	잎		Лист (от дерева)		
1480	중간		Посередине		
1481	지도자		Лидер		
1482	천천히		Медленно		
1484	대체로		Вообще, в целом, по большей части		
1485	몹시		Чрезвычайно		
1486	문득		Вдруг		
1487	스포츠		Спорт		
1488	위원장		Председатель комитета		
1489	저기		Это место		
1491	효과적		Эффективный		
1492	가까이		Близко		
1497	언젠가		Один из этих дней, в какой-то момент в будущем		
1498	예술가		Художник		
1499	의도		Намерение, цель		
1502	가만히		Тихо или мягко		
1503	건		Вещество или предмет или случай		
1504	교회		Проповедь или моральная инструкция		
1505	대구		Город Тэгу		
1506	외부		Экстерьер, за		
1507	한두		Один или два		
1508	한때		Какое-то время, временно		
1509	화		Гнев (сердитость)		
1510	흙		земля, почва		
1512	고객		Клиент		
1513	과학자		Ученый		
1514	관광		Достопримечательности, туризм		
1516	상대적		относительно, коррелятивно		
1517	수술		Хирургия		
1518	식품		Бакалейные товары		
1519	연기		производительность, действия		
1520	일월		Январь		
1521	조		Статья, пункт		
1522	첫째		Первый		
1523	회원		Член общества		
1524	도서관		Библиотека		
1526	조금씩		Понемногу		
1527	조미료		приправы		
1530	마늘		Чеснок		
1531	선물		Подарок		
1532	습관		Привычка		
1533	아주머니		Тетя, уважительное обращение к женатой, старшей женщине		
1534	위험		Опасность		
1535	지하		Метро, подземка		
1538	고민		Беспокойство или теснота		
1539	맨		голые		
1540	법률		Закон, Устав		
